service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-34,1,1,1,1,1,0,0,20250801,20250813
1111100-35,1,1,1,1,1,0,0,20250731,20250813
1111100-36,1,1,1,1,1,0,0,20250731,20250801
1111110-3,1,1,1,1,1,1,0,20250801,20250813
0000011-8,0,0,0,0,0,1,1,20250802,20250802
0000011-9,0,0,0,0,0,1,1,20250802,20250810
1111100-37,1,1,1,1,1,0,0,20250801,20250813
1111100-38,1,1,1,1,1,0,0,20250804,20250804
1111100-39,1,1,1,1,1,0,0,20250805,20250813
1111100-40,1,1,1,1,1,0,0,20250806,20250813
1111100-41,1,1,1,1,1,0,0,20250731,20250813
1111111-26,1,1,1,1,1,1,1,20250806,20250813
1111100-42,1,1,1,1,1,0,0,20250806,20250813
1111100-43,1,1,1,1,1,0,0,20250807,20250808
1111100-44,1,1,1,1,1,0,0,20250801,20250813
1111111-27,1,1,1,1,1,1,1,20250801,20250813
1111100-45,1,1,1,1,1,0,0,20250806,20250813
1111100-46,1,1,1,1,1,0,0,20250731,20250813
1111100-47,1,1,1,1,1,0,0,20250801,20250813
1111100-48,1,1,1,1,1,0,0,20250801,20250813
1111100-49,1,1,1,1,1,0,0,20250731,20250813
1111100-50,1,1,1,1,1,0,0,20250804,20250808
1111100-51,1,1,1,1,1,0,0,20250731,20250813
0000100-1,0,0,0,0,1,0,0,20250801,20250808
1111100-52,1,1,1,1,1,0,0,20250731,20250813
0000011-10,0,0,0,0,0,1,1,20250802,20250809
1111100-53,1,1,1,1,1,0,0,20250731,20250813
1111100-54,1,1,1,1,1,0,0,20250731,20250813
1111100-55,1,1,1,1,1,0,0,20250731,20250813
0000011_TR1,0,0,0,0,0,1,1,20241215,20251213
0000011_TR2,0,0,0,0,0,1,1,20250719,20250823
1111111_TR1,1,1,1,1,1,1,1,20241215,20251213
1111111_TR2,1,1,1,1,1,1,1,20250714,20250823
1111100_TR1,1,1,1,1,1,0,0,20241216,20251212
1111100_TR2,1,1,1,1,1,0,0,20250714,20250822
1111111_TR3,1,1,1,1,1,1,1,20241215,20251213
1111100_TR3,1,1,1,1,1,0,0,20241216,20251212
1111101_TR1,1,1,1,1,1,0,1,20241215,20251212
1010000_TR1,1,0,1,0,0,0,0,20250813,20250820
1111110_TR1,1,1,1,1,1,1,0,20241216,20251213
0000000_TR1,0,0,0,0,0,0,0,20241215,20251213
1111111_TR4,1,1,1,1,1,1,1,20250701,20251212
1010010_TR1,1,0,1,0,0,1,0,20250809,20250820
1111101_TR2,1,1,1,1,1,0,1,20241215,20251212
1111111_TR5,1,1,1,1,1,1,1,20241215,20251213
1111111_TR6,1,1,1,1,1,1,1,20241215,20251213
1111111_TR7,1,1,1,1,1,1,1,20241215,20251213
1111111_TR8,1,1,1,1,1,1,1,20241215,20251213
1111111_TR9,1,1,1,1,1,1,1,20241215,20251213
1111100_TR4,1,1,1,1,1,0,0,20241216,20251212
1111111_TR10,1,1,1,1,1,1,1,20241215,20251213
0000010_TR1,0,0,0,0,0,1,0,20241221,20251213
1111110_TR2,1,1,1,1,1,1,0,20241216,20251213
0000001_TR1,0,0,0,0,0,0,1,20241215,20251207
0000011_TR3,0,0,0,0,0,1,1,20241215,20251213
1111101_TR3,1,1,1,1,1,0,1,20241215,20251212
1111111_TR11,1,1,1,1,1,1,1,20241215,20251213
0100000_TR1,0,1,0,0,0,0,0,20250805,20250805
1111111_TR12,1,1,1,1,1,1,1,20241215,20251213
0000011_TR4,0,0,0,0,0,1,1,20241215,20251213
0000000_TR2,0,0,0,0,0,0,0,20241215,20251213
1111111_TR13,1,1,1,1,1,1,1,20250308,20251212
1111111_TR14,1,1,1,1,1,1,1,20250518,20251213
0000011_TR5,0,0,0,0,0,1,1,20250802,20250803
1111111_TR15,1,1,1,1,1,1,1,20250519,20251213
1111111_TR16,1,1,1,1,1,1,1,20250518,20251213
1000011_TR1,1,0,0,0,0,1,1,20250802,20250804
1111100_TR5,1,1,1,1,1,0,0,20250519,20251212
1000000_TR1,1,0,0,0,0,0,0,20250804,20250804
0000010_TR2,0,0,0,0,0,1,0,20250802,20250802
0000001_TR2,0,0,0,0,0,0,1,20250803,20250803
1111111_TR17,1,1,1,1,1,1,1,20250518,20251213
1111111_TR18,1,1,1,1,1,1,1,20241215,20251213
